model_name,category,model_base,tolerance,proof_time_mean,proof_time_std,proof_size_kb,circuit_size,verify_time,status
AvgPool2d_k2,core_layers,AvgPool2d_k2,0.5,83.46172181765239,1.3148384502091919,24575.7529296875,1884162,1.7983031272888184,success
SiLU,core_layers,SiLU,0.5,5.181082646052043,0.1051704926405233,1266.072265625,67584,0.10861849784851074,success
AvgPool2d_k2,core_layers,AvgPool2d_k2,2.0,81.96267437934875,0.1850355330427709,24576.9619140625,1884162,1.7712581157684326,success
Dense,core_layers,Dense,2.0,1.2832640012105305,0.028449754755794688,74.861328125,19072,0.022083759307861328,success
Tanh,core_layers,Tanh,0.5,5.064414580663045,0.056956599538410764,1247.9716796875,65536,0.11783504486083984,success
BatchNorm2d,core_layers,BatchNorm2d,2.0,137.44067335128784,0.3847365207236082,39057.1943359375,2097152,3.193234443664551,success
ReLU,core_layers,ReLU,0.5,5.178435405095418,0.009128747910355197,1216.7685546875,96256,0.1244351863861084,success
SiLU,core_layers,SiLU,2.0,5.130381027857463,0.07354959818763299,1265.765625,67584,0.12992501258850098,success
ReLU,core_layers,ReLU,2.0,5.199015458424886,0.020500937736527263,1216.607421875,96256,0.1322479248046875,success
Dense,core_layers,Dense,0.5,2.2825213273366294,0.4939444759885718,74.9306640625,19072,0.03717207908630371,success
MaxPool2d_k2,core_layers,MaxPool2d_k2,0.5,260.9190951983134,0.5406401983475378,24568.40625,2310144,3.7685327529907227,success
Poly,core_layers,Poly,2.0,4.67160177230835,0.028511931165485234,1255.8671875,65536,0.10090065002441406,success
MaxPool2d_k2,core_layers,MaxPool2d_k2,2.0,260.68417620658875,1.3261152475962366,24567.8046875,2310144,3.7593913078308105,success
BatchNorm2d,core_layers,BatchNorm2d,0.5,136.84896087646484,0.6450613962108066,39059.6181640625,2097152,3.12399959564209,success
Tanh,core_layers,Tanh,2.0,5.061309258143107,0.053193582757364084,1247.8955078125,65536,0.13816332817077637,success
Poly,core_layers,Poly,0.5,4.648727178573608,0.04594811245170783,1255.9169921875,65536,0.11609745025634766,success
Dense_Scaling_Small,scaling_study,Dense_Scaling_Small,0.5,1.0954702695210774,0.014680615663794961,45.8671875,5440,0.02203655242919922,success
Dense_Scaling_Large,scaling_study,Dense_Scaling_Large,0.5,16.739458401997883,0.10922191843154222,249.294921875,272896,0.28018808364868164,success
Dense_Scaling_Small,scaling_study,Dense_Scaling_Small,2.0,1.0873911380767822,0.030313339080173512,45.853515625,5440,0.015882492065429688,success
Dense_Scaling_Large,scaling_study,Dense_Scaling_Large,2.0,16.78332821528117,0.16965383781891014,249.1884765625,272896,0.261199951171875,success
CNN_Poly,composite,CNN_Poly,2.0,289.30241139729816,1.3486729670911728,478.841796875,5531480,3.8728296756744385,success
CNN_Strided,composite,CNN_Strided,0.5,70.55835405985515,1.765391088487455,478.8955078125,1144660,1.1966071128845215,success
CNN_Mixed,composite,CNN_Mixed,0.5,288.5436174074809,5.1504112600958685,478.71875,5277528,4.026055574417114,success
CNN_Poly,composite,CNN_Poly,0.5,288.2626667022705,1.1808997262978906,478.8623046875,5531480,4.0482683181762695,success
CNN_Strided,composite,CNN_Strided,2.0,68.95862579345703,0.5576648826472962,478.8662109375,1144660,0.9905266761779785,success
CNN_Mixed,composite,CNN_Mixed,2.0,293.68424852689105,7.709404295426414,478.7587890625,5277528,3.897016763687134,success
